LetterboxdURI,Title,Year,Directors,Rating,Avg Rating
https://boxd.it/2QRY,A Useful Life,2010,Federico Veiroj,3.45,364.2
https://boxd.it/5eH8,Los Caifanes,1967,Juan Ibáñez,3.7,365.6
https://boxd.it/3b0w,Vampires in Havana,1985,Juan Padrón,3.55,366.0
https://boxd.it/wgne,The Great Movement,2021,Kiro Russo,3.46,366.2
https://boxd.it/1Hno,Midaq Alley,1995,Jorge Fons,3.59,367.0
https://boxd.it/82Yi,The Realm of Fortune,1986,Arturo Ripstein,3.57,368.0
https://boxd.it/74Uq,Black Wind,1965,Servando González,3.75,368.8
https://boxd.it/2q3o,The Heifer,1985,Luis García Berlanga,3.67,369.4
https://boxd.it/gxO,Maria Candelaria,1944,Emilio Fernández,3.58,369.8
https://boxd.it/4x7G,The Scapular,1968,Servando González,3.69,371.2
https://boxd.it/oNfm,"Mum, Mum, Mum",2020,Sol Berruezo Pichon-Riviére,3.49,372.4
https://boxd.it/7eVS,Time to Die,1966,Arturo Ripstein,3.74,372.6
https://boxd.it/2ao6,Maria Full of Grace,2004,Joshua Marston,3.64,372.6
https://boxd.it/Uqo,The Pearl,1947,Emilio Fernández,3.56,373.8
https://boxd.it/hHAY,Jägger Royale,2017,Míster Jägger,3.6,374.6
https://boxd.it/2OJ4,Alone,1999,Benito Zambrano,3.63,375.0
https://boxd.it/3Dyw,The Rocket from Calabuch,1956,Luis García Berlanga,3.61,375.0
https://boxd.it/3TgS,Life Sentence,1979,Arturo Ripstein,3.54,375.2
https://boxd.it/5rjy,Rodrigo D. No Future,1990,Víctor Gaviria,3.55,376.0
https://boxd.it/4ra,Days of Santiago,2004,Josué Méndez,3.86,377.4
https://boxd.it/y6Q,Undertow,2009,Javier Fuentes-León,3.69,377.8
https://boxd.it/2932,Princesses,2005,Fernando León de Aranoa,3.6,377.8
https://boxd.it/LLM,Deep Crimson,1996,Arturo Ripstein,3.65,378.2
https://boxd.it/3Z3A,Dos tipos de cuidado,1953,Ismael Rodríguez,3.64,380.2
https://boxd.it/bIww,Tigers Are Not Afraid,2017,Issa López,3.64,381.6
https://boxd.it/h7LG,Virus Tropical,2017,Santiago Caicedo,3.55,382.2
https://boxd.it/38mk,Lucia,1968,Humberto Solás,3.83,382.4
https://boxd.it/lp6,Moon of Avellaneda,2004,Juan José Campanella,3.61,384.0
https://boxd.it/aANs,Endless Poetry,2016,Alejandro Jodorowsky,3.86,384.6
https://boxd.it/omnI,Libertad,2021,Clara Roquet,3.43,385.0
https://boxd.it/1Yri,The Ferpect Crime,2004,Álex de la Iglesia,3.51,385.6
https://boxd.it/Cx0I,El castigo,2022,Matías Bize,3.5,387.2
https://boxd.it/3SwA,Pueblerina,1949,Emilio Fernández,3.6,388.4
https://boxd.it/1hGY,Barrio,1998,Fernando León de Aranoa,3.6,388.6
https://boxd.it/yq4U,Prison 77,2022,Alberto Rodríguez,3.67,389.2
https://boxd.it/WK6,The Brute,1953,Luis Buñuel,3.59,389.2
